Town,Population,Total,Occupied,Vacant
Southington,"43,069","17,447","16,814",633
Sprague,"2,984","1,248","1,135",113
Stafford,"12,087","5,124","4,767",357
Stamford,"122,643","50,573","47,357","3,216"
Sterling,"3,830","1,511","1,383",128
Stonington,"18,545","9,467","8,115","1,352"
Stratford,"51,384","21,091","20,095",996
Suffield,"15,735","5,469","5,155",314
Thomaston,"7,887","3,276","3,108",168
Thompson,"9,458","4,171","3,730",441
Tolland,"15,052","5,451","5,312",139
Torrington,"36,383","16,761","15,243","1,518"
Trumbull,"36,018","13,157","12,725",432
Union,854,388,334,54
Vernon,"29,179","13,896","12,976",920
Voluntown,"2,603","1,127","1,002",125
Wallingford,"45,135","18,945","18,032",913
Warren,"1,461",811,601,210
Washington,"3,578","2,124","1,512",612
Waterbury,"110,366","47,991","42,761","5,230"
Waterford,"19,517","8,634","8,005",629
Watertown,"22,514","9,096","8,672",424
West Hartford,"63,268","26,396","25,258","1,138"
West Haven,"55,564","22,446","21,112","1,334"
Westbrook,"6,938","3,937","2,948",989
Weston,"10,179","3,674","3,379",295
Westport,"26,391","10,399","9,573",826
Wethersfield,"26,668","11,677","11,204",473
Willington,"6,041","2,637","2,423",214
Wilton,"18,062","6,475","6,172",303
Winchester,"11,242","5,613","4,815",798
Windham,"25,268","9,570","8,906",664
Windsor,"29,044","11,767","11,233",534
Windsor Locks,"12,498","5,429","5,223",206
Wolcott,"16,680","6,276","6,007",269
Woodbridge,"8,990","3,478","3,336",142
Woodbury,"9,975","4,564","4,214",350
Woodstock,"7,964","3,582","3,151",431
